timestm,temp_h,temp_p,humidity,pressure,pitch,roll,yaw,mag_x,mag_y,mag_z,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,CO(ppm),Smoke(ppm),LPG(ppm)
2018-01-09 12:35:25.721125,0.5293572319878473,36.88407897949219,919.466064453125,0.52398537933608,102.71756202204261,2.872812569626859,-3.1619393825531006,-0.5832972526550293,-6.259517669677734,0.05414274334907532,0.01260718796402216,0.9131320714950562,0.004258543252944946,0.006296111270785332,-0.0029351115226745605,-0.00292,0.004951,0.020605,0.007645
2018-01-09 12:35:41.989924,21.006578911675344,40.533851623535156,919.39013671875,0.40124786712672933,99.64550685791096,5.209266605431896,-6.005765438079834,-1.0792558193206787,-12.427282333374023,0.052928779274225235,0.011879850178956985,0.9284850358963013,-0.0025304853916168213,0.0010361149907112122,-0.0013012681156396866,-8.81E-05,0.004879,0.021259,0.007235
2018-01-09 12:35:58.361135,22.133067321777343,40.74388885498047,919.40771484375,60.212673269838795,105.14225185664047,8.348541930053878,-7.380958557128906,-0.9323669672012329,-15.08008861541748,0.05681345984339714,0.01260718796402216,0.9318967461585999,-0.0044501423835754395,-0.0008041635155677795,-0.002387726679444313,-0.00244,0.326488,0.519085,0.158281
2018-01-09 12:36:14.855799,22.907479943169488,40.89609146118164,919.4345703125,52.73361954376942,101.2393861422468,5.673390339252133,-6.425209999084473,-3.570816993713379,-16.12354278564453,0.059241387993097305,0.009697836823761463,0.9270228147506714,-0.004458308219909668,-0.00021999329328536987,-0.0013646241277456284,-0.00269,856.256,92.5689,256.451
2018-01-09 12:36:31.314961,23.220099385579427,38.58568572998047,919.438232421875,45.04601965177204,101.69062941995286,3.2315296225242864,-4.5255608558654785,-6.540050983428955,-16.901382446289062,0.059241387993097305,0.010910065844655037,0.9233673214912415,-0.0035754740238189697,0.0010100044310092926,-0.0024415459483861923,-0.00252,230084,702.845,2125.48
2018-01-09 12:36:47.783560,23.65656255086263,40.612998962402344,919.401123046875,38.38444394670481,103.2704316844093,2.0686660106675205,-3.73032546043396,-7.835869789123535,-17.545276641845703,0.05948418006300926,0.010910065844655037,0.9279976487159729,-0.0029907524585723877,-0.0010992474853992462,-0.001040685921907425,-0.00272,844450,46831,6892.44
2018-01-09 12:37:04.275673,24.857979583740232,40.223365783691406,919.4091796875,32.1690196133174,106.42127308061706,1.9008367368160826,-3.4562132358551025,-8.500438690185547,-17.635778427124023,0.05875580012798309,0.010910065844655037,0.9275102019309998,-0.0021609514951705933,0.0016534104943275452,-0.0015341676771640778,-0.00264,3360000,136201,18725
2018-01-09 12:37:20.383133,24.2535596310933,38.567420959472656,919.38037109375,25.261545145298662,110.19344995543169,2.8962789651809078,-3.4717612266540527,-8.182499885559082,-17.714284896850586,0.06021255999803543,0.01284963358193636,0.9262917041778564,-0.005090951919555664,0.0028578415513038635,-0.003870425745844841,-0.00254,22500000,592526,74164
2018-01-09 12:37:36.845550,23.909087371826173,40.01941680908203,919.408203125,16.12519212090259,113.32237327459288,3.4946016154833206,-3.5792813301086426,-8.156131744384766,-17.427047729492188,0.0609409362077713,0.009940282441675663,0.9321404099464417,-0.004408657550811768,0.00038688257336616516,-0.0007123854011297226,-0.00249,962532,65420,7011.56
2018-01-09 12:37:53.296675,23.863756815592447,41.41053009033203,919.362548828125,11.494554382518432,116.32011598055479,4.709488003483723,-3.9065723419189453,-8.375980377197266,-17.58302116394043,0.06045534834265709,0.009212944656610489,0.9284850358963013,-0.0067969560623168945,0.0022238753736019135,-0.0009510144591331482,-0.00272,392530,23526,3615.85
2018-01-09 12:38:09.688490,23.05642361111111,39.04228591918945,919.360107421875,5.969225895886073,117.08527475251464,7.433773840740424,-3.750098466873169,-8.365174293518066,-16.877296447753906,0.062640480697155,0.003636688692495227,0.9328715205192566,-0.006285257637500763,0.0019302032887935638,-0.0006392057985067368,-0.00278,170127,523.256,2012.36
2018-01-09 12:38:25.901713,22.53124203152127,39.82764434814453,919.3876953125,0.024970958162155055,118.06555716257321,5.642689919593395,-3.432326078414917,-8.136119842529297,-16.519309997558594,0.06045534834265709,0.007515823468565941,0.9309219717979431,-0.004497729241847992,0.000718090683221817,-0.0020540915429592133,-0.00295,900.25,85.4591,42.3695
2018-01-09 12:38:42.314779,23.43144039577908,40.174659729003906,919.35205078125,354.7140418961331,121.3536921912874,3.9794846420687535,-3.7805871963500977,-8.487637519836426,-16.903764724731445,0.059969767928123474,0.00654603959992528,0.9284850358963013,-0.007425129413604736,-0.002597268670797348,-0.0020195692777633667,-0.00295,0.17256,0.312585,0.085463
2018-01-09 12:38:58.812790,23.76280229356554,39.839820861816406,919.33203125,354.00412697484074,122.71534504384279,4.494674712105414,-3.828963041305542,-8.15473461151123,-17.14297866821289,0.060698140412569046,0.010910065844655037,0.9277539253234863,-0.003763139247894287,0.0007474981248378754,-0.0015866290777921677,-0.00285,0.004725,0.022546,0.008025
